,RunId,iteration,Step,width,height,cooperation_reward,defected_reward,defection_reward,mutual_defection_reward,Is Alive,Cooperating,Defecting,Proportion,Altruism
246,246,0,25,10,10,0.75,0.75,0.25,0.5,100,100,0,100.0,450.0
247,247,0,25,10,10,0.75,0.75,0.25,0.75,100,100,0,100.0,450.0
248,248,0,25,10,10,0.75,0.75,0.5,0.0,100,100,0,100.0,450.0
249,249,0,25,10,10,0.75,0.75,0.5,0.25,100,100,0,100.0,450.0
250,250,0,25,10,10,0.75,0.75,0.5,0.5,100,100,0,100.0,450.0
251,251,0,25,10,10,0.75,0.75,0.5,0.75,100,100,0,100.0,450.0
252,252,0,25,10,10,0.75,0.75,0.75,0.0,100,100,0,100.0,450.0
253,253,0,25,10,10,0.75,0.75,0.75,0.25,100,100,0,100.0,450.0
254,254,0,25,10,10,0.75,0.75,0.75,0.5,100,100,0,100.0,450.0
255,255,0,25,10,10,0.75,0.75,0.75,0.75,100,100,0,100.0,450.0
256,256,1,25,10,10,0.0,0.0,0.0,0.0,100,100,0,100.0,450.0
257,257,1,25,10,10,0.0,0.0,0.0,0.25,100,0,100,0.0,0.0
258,258,1,25,10,10,0.0,0.0,0.0,0.5,100,0,100,0.0,0.0
259,259,1,25,10,10,0.0,0.0,0.0,0.75,100,0,100,0.0,0.0
260,260,1,25,10,10,0.0,0.0,0.25,0.0,41,0,41,0.0,0.0
261,261,1,25,10,10,0.0,0.0,0.25,0.25,100,0,100,0.0,0.0
262,262,1,25,10,10,0.0,0.0,0.25,0.5,100,0,100,0.0,0.0
263,263,1,25,10,10,0.0,0.0,0.25,0.75,100,0,100,0.0,0.0
264,264,1,25,10,10,0.0,0.0,0.5,0.0,58,0,58,0.0,0.0
265,265,1,25,10,10,0.0,0.0,0.5,0.25,100,0,100,0.0,0.0
266,266,1,25,10,10,0.0,0.0,0.5,0.5,100,0,100,0.0,0.0
267,267,1,25,10,10,0.0,0.0,0.5,0.75,100,0,100,0.0,0.0
268,268,1,25,10,10,0.0,0.0,0.75,0.0,43,0,43,0.0,0.0
269,269,1,25,10,10,0.0,0.0,0.75,0.25,100,0,100,0.0,0.0
270,270,1,25,10,10,0.0,0.0,0.75,0.5,100,0,100,0.0,0.0
271,271,1,25,10,10,0.0,0.0,0.75,0.75,100,0,100,0.0,0.0
272,272,1,25,10,10,0.0,0.25,0.0,0.0,47,47,0,100.0,211.5
273,273,1,25,10,10,0.0,0.25,0.0,0.25,100,0,100,0.0,0.0
274,274,1,25,10,10,0.0,0.25,0.0,0.5,100,0,100,0.0,0.0
275,275,1,25,10,10,0.0,0.25,0.0,0.75,100,0,100,0.0,0.0
276,276,1,25,10,10,0.0,0.25,0.25,0.0,76,17,59,22.36842105263158,44.0
277,277,1,25,10,10,0.0,0.25,0.25,0.25,100,0,100,0.0,0.0
278,278,1,25,10,10,0.0,0.25,0.25,0.5,100,0,100,0.0,0.0
279,279,1,25,10,10,0.0,0.25,0.25,0.75,100,0,100,0.0,0.0
280,280,1,25,10,10,0.0,0.25,0.5,0.0,47,0,47,0.0,0.0
281,281,1,25,10,10,0.0,0.25,0.5,0.25,100,0,100,0.0,0.0
282,282,1,25,10,10,0.0,0.25,0.5,0.5,100,0,100,0.0,0.0
283,283,1,25,10,10,0.0,0.25,0.5,0.75,100,0,100,0.0,0.0
284,284,1,25,10,10,0.0,0.25,0.75,0.0,34,0,34,0.0,0.0
285,285,1,25,10,10,0.0,0.25,0.75,0.25,100,0,100,0.0,0.0
286,286,1,25,10,10,0.0,0.25,0.75,0.5,100,0,100,0.0,0.0
287,287,1,25,10,10,0.0,0.25,0.75,0.75,100,0,100,0.0,0.0
288,288,1,25,10,10,0.0,0.5,0.0,0.0,58,58,0,100.0,261.0
289,289,1,25,10,10,0.0,0.5,0.0,0.25,42,42,0,100.0,189.0
290,290,1,25,10,10,0.0,0.5,0.0,0.5,100,0,100,0.0,0.0
291,291,1,25,10,10,0.0,0.5,0.0,0.75,100,0,100,0.0,0.0
292,292,1,25,10,10,0.0,0.5,0.25,0.0,49,49,0,100.0,220.5
293,293,1,25,10,10,0.0,0.5,0.25,0.25,100,0,100,0.0,0.0
294,294,1,25,10,10,0.0,0.5,0.25,0.5,100,0,100,0.0,0.0
295,295,1,25,10,10,0.0,0.5,0.25,0.75,100,0,100,0.0,0.0
296,296,1,25,10,10,0.0,0.5,0.5,0.0,73,61,12,83.56164383561644,259.5
297,297,1,25,10,10,0.0,0.5,0.5,0.25,100,0,100,0.0,0.0
298,298,1,25,10,10,0.0,0.5,0.5,0.5,100,0,100,0.0,0.0
299,299,1,25,10,10,0.0,0.5,0.5,0.75,100,0,100,0.0,0.0
300,300,1,25,10,10,0.0,0.5,0.75,0.0,52,0,52,0.0,0.0
301,301,1,25,10,10,0.0,0.5,0.75,0.25,100,0,100,0.0,0.0
302,302,1,25,10,10,0.0,0.5,0.75,0.5,100,0,100,0.0,0.0
303,303,1,25,10,10,0.0,0.5,0.75,0.75,100,0,100,0.0,0.0
304,304,1,25,10,10,0.0,0.75,0.0,0.0,45,45,0,100.0,202.5
305,305,1,25,10,10,0.0,0.75,0.0,0.25,53,53,0,100.0,238.5
306,306,1,25,10,10,0.0,0.75,0.0,0.5,99,0,99,0.0,0.0
307,307,1,25,10,10,0.0,0.75,0.0,0.75,100,0,100,0.0,0.0
308,308,1,25,10,10,0.0,0.75,0.25,0.0,43,43,0,100.0,193.5
309,309,1,25,10,10,0.0,0.75,0.25,0.25,54,54,0,100.0,243.0
310,310,1,25,10,10,0.0,0.75,0.25,0.5,93,2,91,2.1505376344086025,4.0
311,311,1,25,10,10,0.0,0.75,0.25,0.75,100,0,100,0.0,0.0
312,312,1,25,10,10,0.0,0.75,0.5,0.0,52,52,0,100.0,234.0
313,313,1,25,10,10,0.0,0.75,0.5,0.25,87,50,37,57.47126436781609,179.5
314,314,1,25,10,10,0.0,0.75,0.5,0.5,100,0,100,0.0,0.0
315,315,1,25,10,10,0.0,0.75,0.5,0.75,100,0,100,0.0,0.0
316,316,1,25,10,10,0.0,0.75,0.75,0.0,77,18,59,23.376623376623375,48.0
317,317,1,25,10,10,0.0,0.75,0.75,0.25,91,0,91,0.0,0.0
318,318,1,25,10,10,0.0,0.75,0.75,0.5,100,0,100,0.0,0.0
319,319,1,25,10,10,0.0,0.75,0.75,0.75,100,0,100,0.0,0.0
320,320,1,25,10,10,0.25,0.0,0.0,0.0,100,100,0,100.0,450.0
321,321,1,25,10,10,0.25,0.0,0.0,0.25,59,48,11,81.35593220338984,202.5
322,322,1,25,10,10,0.25,0.0,0.0,0.5,100,0,100,0.0,0.0
